2024-10-07 17:09:25 configure libc6:arm64 2.40-1ubuntu3 <none>
2024-10-07 17:09:25 status unpacked libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:25 status half-configured libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:25 status installed libc6:arm64 2.40-1ubuntu3
2024-10-07 17:09:25 configure libdb5.3t64:arm64 5.3.28+dfsg2-7 <none>
2024-10-07 17:09:25 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-7
2024-10-07 17:09:25 status half-configured libdb5.3t64:arm64 5.3.28+dfsg2-7
2024-10-07 17:09:25 status installed libdb5.3t64:arm64 5.3.28+dfsg2-7
2024-10-07 17:09:25 configure libmd0:arm64 1.1.0-2build2 <none>
2024-10-07 17:09:25 status unpacked libmd0:arm64 1.1.0-2build2
2024-10-07 17:09:25 status half-configured libmd0:arm64 1.1.0-2build2
2024-10-07 17:09:25 status installed libmd0:arm64 1.1.0-2build2
2024-10-07 17:09:25 configure libattr1:arm64 1:2.5.2-1build2 <none>
2024-10-07 17:09:25 status unpacked libattr1:arm64 1:2.5.2-1build2
2024-10-07 17:09:25 status half-configured libattr1:arm64 1:2.5.2-1build2
2024-10-07 17:09:25 status installed libattr1:arm64 1:2.5.2-1build2
2024-10-07 17:09:25 configure sysvinit-utils:arm64 3.08-6ubuntu3 <none>
2024-10-07 17:09:25 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-07 17:09:25 status half-configured sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-07 17:09:25 status installed sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-07 17:09:25 configure libext2fs2t64:arm64 1.47.1-1ubuntu1 <none>
2024-10-07 17:09:25 status unpacked libext2fs2t64:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:25 status half-configured libext2fs2t64:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:25 status installed libext2fs2t64:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:25 configure debianutils:arm64 5.20 <none>
2024-10-07 17:09:25 status unpacked debianutils:arm64 5.20
2024-10-07 17:09:25 status half-configured debianutils:arm64 5.20
2024-10-07 17:09:25 status installed debianutils:arm64 5.20
2024-10-07 17:09:25 configure mawk:arm64 1.3.4.20240622-2 <none>
2024-10-07 17:09:25 status unpacked mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:25 status half-configured mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:25 status installed mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:25 configure libdebconfclient0:arm64 0.272ubuntu1 <none>
2024-10-07 17:09:25 status unpacked libdebconfclient0:arm64 0.272ubuntu1
